Points		Question
------		--------
1		Question 1
2		Question 2
1		Question 3
1		Question 4
0		Question 5
1		Question 6
0		Question 7
1		Question 8
1		Question 9
2		Question 10
1		Question 11
1		Question 12
5		Question 13
1		Question 14
1		Question 15
2		Question 16
1		Question 17
1		Question 18
1		Question 19
4		Question 21
1		Question 22
1		Question 23
1		Question 24
0		Question 25
1		Question 26
1		Question 27
1		Question 28
4		Question 29
4		Question 30
1		Question 31
4		Question 32
1		Question 34
1		Question 35
